RA_ICRS;DE_ICRS;Plx;pmRA;pmDE;Gmag;BPmag;RPmag
deg;deg;mas;mas/yr;mas/yr;mag;mag;mag
---------------;---------------;----------;---------;---------;---------;---------;---------
001.12699910956;-31.30079489756;    0.3116;   19.461;   -0.013;20.223042;21.064550;19.275942
001.12872416107;-31.30048874306;   -1.2664;   18.943;   -1.318;20.513268;21.144724;19.641544
001.11141299400;-31.29416605038;    0.8932;    1.968;   -6.570;20.423563;20.659046;19.933279
001.06474496386;-31.30152755245;    7.2706;  -61.858; -130.058;18.953506;20.770742;17.566729
001.06288603976;-31.30037778976;   -0.4873;    9.477;   -7.359;20.391788;21.190893;19.284613
001.08356816910;-31.29347888212;    0.4297;    4.730;   -2.086;17.213430;17.602379;16.662369
001.11301243546;-31.27244639281;    0.0783;    4.284;   -7.192;18.497932;18.817210;17.872076
001.10805657437;-31.27065389162;    0.1560;   -3.506;   -7.194;19.704626;20.420960;18.704004
001.08798406918;-31.27699920911;    0.1450;   -8.697;  -20.120;20.843742;21.466550;20.300550
001.02610709008;-31.32661809967;          ;         ;         ;21.617075;19.766138;18.355110
001.00268723266;-31.31729312613;          ;         ;         ;20.826070;21.185942;20.240550
001.01976044102;-31.31149954185;    1.7937;   11.518;   -3.038;20.412848;21.072525;19.532534
001.04460464077;-31.30186589709;    2.2532;   10.661;  -11.200;20.471811;21.153505;19.148870
001.01662134782;-31.30211897828;          ;         ;         ;20.978765;19.524298;18.001303
001.00246581845;-31.30102116704;    2.2605;   15.157;   -1.683;20.002964;20.735394;18.854137
001.00166948224;-31.30055074042;    1.1516;   15.856;   -2.834;20.683016;20.781132;19.477575
000.98211227414;-31.29963442533;    1.2607;   19.929;  -10.111;19.976728;21.172493;18.866724
000.98193123603;-31.29647030743;    2.4825;   22.254;  -18.927;19.224264;20.805323;17.962660
001.03221617973;-31.27894609706;   -0.3420;    8.118;  -14.969;20.712770;20.978430;19.850538
001.01295421083;-31.27374291891;          ;         ;         ;20.804201;20.254923;19.031970
001.05785119502;-31.29230850185;    0.9719;   10.799;    5.079;15.531691;15.898401;14.989964
001.05221331070;-31.27207005500;    1.4624;   -7.177;    0.085;18.299314;19.629227;17.097656
001.04953385866;-31.26587738659;    0.1316;    2.555;   -8.823;19.671665;20.516394;18.897207
001.06334295920;-31.24998727458;    1.2277;   18.900;   -0.131;19.128872;20.325247;18.082367
001.06058975549;-31.24834585623;    1.8602;   18.347;   -0.295;20.158665;21.550568;19.033585
001.05270565737;-31.25105223216;   -1.1534;    0.821;   -3.181;20.407461;20.490925;19.976706
001.15153042974;-31.28892768576;    1.6322;    4.551;  -13.604;19.101618;20.647503;17.892422
001.14209719867;-31.27981348201;    0.3373;   -3.045;   -5.594;19.256493;19.555159;18.797497
001.14877554814;-31.27942398993;    0.4516;    5.807;   -5.526;17.898240;18.336050;17.311012
001.13959608418;-31.28129048254;    0.6652;   -2.643;   -5.512;20.222052;21.499868;18.996347
001.14087976186;-31.27732681869;    0.9291;   -0.848;   -8.057;15.837377;16.258726;15.257964
001.13697327825;-31.28411704808;    0.9786;    2.464;  -17.449;14.459709;14.806915;13.947479
001.16325706354;-31.27395693703;    1.6036;    5.099;    5.402;20.715332;21.327860;19.418821
001.17591107152;-31.26119843298;   -3.9748;    7.603;   -3.114;20.692074;21.924370;19.939953
001.15762818545;-31.26324178657;    0.3222;    2.300;  -13.409;19.397070;19.863102;18.790447
001.10893281112;-31.25152838783;    0.0545;   -0.875;   -7.638;19.373690;19.755898;18.865540
001.14524108194;-31.24419221405;          ;         ;         ;21.371298;20.298521;19.269205
001.19950769622;-31.23436015039;    0.7217;   -3.039;  -16.606;20.000310;21.165354;18.963250
001.22050234838;-31.20689807423;   -0.4417;   -0.211;   -1.089;20.486765;20.985277;19.725826
001.17301760116;-31.22562396266;    1.4687;   -4.328;  -13.956;18.595789;19.701172;17.560236
001.16997023681;-31.22233805132;    3.8536;  -27.206;  -46.305;18.970120;20.457056;17.700447
001.15558929559;-31.21019344905;    1.4161;   13.237; -114.586;11.778688;12.040705;11.349616
001.15603706139;-31.21110567148;    0.5397;   -4.449;   -3.303;16.756035;16.671185;15.836896
001.17685684781;-31.19235024266;    3.4920;  -11.023;  -28.714;19.824093;20.037046;19.667765
001.17309959592;-31.19471882059;    1.0599;   -1.020;  -11.045;14.523957;14.867799;14.007856
001.09027418992;-31.24446047460;    2.2487;    1.316;  -17.816;16.696417;17.661945;15.719900
001.11656889140;-31.23237791659;    1.5048;   29.807;   -8.182;15.095411;15.581288;14.453714
001.09626565977;-31.21964925861;    1.4819;   -1.886;   -0.065;20.169008;21.030416;19.232950
001.10242091692;-31.22217422231;          ;         ;         ;21.460060;21.250273;19.111390
001.13560750375;-31.21560257090;    0.2181;   27.175;    3.520;19.410484;20.432928;18.548538
001.13330625213;-31.20989923360;    0.7901;    9.595;   -7.460;19.494638;20.470047;18.690567
001.12621086022;-31.21741286240;   -0.7378;    7.227;   -2.381;19.930874;20.098969;18.641624
001.12969517504;-31.21784240511;    0.2841;   18.555;   -6.847;20.416807;21.420734;19.440516
001.13122323375;-31.21472290575;    1.8833;   10.884;   -0.552;19.048590;20.268864;17.839260
001.12606801726;-31.21734542408;          ;         ;         ;20.426989;         ;
