Name,AUID,Coords,Const,Type,Period,Mag
"CSS_J084837.3+115741","--","08 48 37.39 +11 57 41.5","Cnc","EW","0.276968","16.90 (0.19) CV"
"CSS_J085003.8+122719","--","08 50 03.88 +12 27 19.6","Cnc","EA","0.494362","18.37 (0.46) CV"
"SEKBO 118580.1917","--","08 50 42.86 +12 33 11.9","Cnc","RR:","--","19.14 - ? V"
"CSS_J085419.6+113244","--","08 54 19.66 +11 32 44.7","Cnc","EW","0.413644","16.15 (0.14) CV"
"LINEAR 5195220","--","08 53 46.66 +12 18 22.8","Cnc","EA","0.561333","14.16 (0.27) CV"
"CSS_J084803.2+113649","--","08 48 03.28 +11 36 49.0","Cnc","RRAB","0.5832720","16.598 (0.63) CV"
"LINEAR 5202971","--","08 48 37.54 +11 18 44.7","Cnc","EW","0.378488","16.34 (0.44) CV"
"MT Cnc","000-BJT-794","08 54 38.96 +11 33 00.1","Cnc","EW","0.434639","14.4 - 14.84 CV"
"EPIC 211413752","--","08 54 50.29 +11 50 53.8","Cnc","EP","9.33155684","13.54 (0.001) Kp"
"ASAS J085453+1142.4","--","08 54 53.19 +11 42 22.3","Cnc","MISC","61.605465","10.21 (0.1) V"
"LINEAR 5184349","--","08 48 25.92 +12 24 54.1","Cnc","EW","0.430497","16.33 (0.39) CV"
"FX Cnc","000-BCV-003","08 48 39.54 +12 32 49.0","Cnc","SRS","21.7","6.61 - 6.77 V"
