RA_ICRS;DE_ICRS;Plx;pmRA;pmDE;Gmag;BPmag;RPmag
deg;deg;mas;mas/yr;mas/yr;mag;mag;mag
---------------;---------------;----------;---------;---------;-------;-------;-------
098.21581861988;+20.25107934557;    0.0289;    0.617;   -2.305;19.3689;19.8755;18.5202
098.21864284010;+20.25321861187;   -0.1551;    0.876;   -1.922;19.9065;20.1130;19.2411
098.21353774354;+20.25331357836;    1.1707;   -0.430;    0.498;18.7913;19.3212;18.0570
098.23211640603;+20.25016235974;    0.3732;    0.642;   -1.187;19.5554;20.1446;18.8216
098.21637857776;+20.25225723149;   -1.6192;    0.620;   -1.888;20.4670;20.7695;19.4012
098.21777045698;+20.25041051426;    0.2001;    3.038;   -1.244;18.7632;19.3480;17.9759
098.20826689623;+20.25179587840;    1.0530;    2.180;   -6.248;18.8502;19.6367;17.9055
098.23399352263;+20.24053384205;    0.0101;   -3.348;   -0.843;20.1693;21.0589;18.8789
098.22269236535;+20.25331218101;    1.4607;   -1.435;   -7.926;16.7496;17.5213;15.8841
098.20821265765;+20.25412893030;    0.5484;    0.138;   -2.449;19.0590;19.5938;18.1636
098.23242574817;+20.24682111025;    1.4683;   -1.872;   -0.334;19.8777;20.4585;18.9896
098.21480466266;+20.24777719776;    2.7068;    3.269;    0.196;20.5346;20.6360;19.8626
098.22839088884;+20.24863474358;    0.5437;    2.880;   -3.654;19.4494;19.9332;18.5724
098.21314971529;+20.25534049046;    0.2531;   -1.186;   -2.640;19.6136;20.2582;18.6366
098.20833776287;+20.25323781253;    0.3034;   -0.824;   -5.987;20.4580;20.5470;19.5566
098.22863867440;+20.24500326180;    0.3021;   -0.490;   -0.972;16.3936;16.8512;15.7633
098.25597014506;+20.25930630268;   -0.2949;    1.754;   -4.540;20.3583;       ;
098.24099096019;+20.27635623254;    0.2578;    1.183;   -1.845;20.1114;20.8908;19.3786
098.24148646012;+20.26578094408;          ;         ;         ;19.6683;       ;
098.22626673086;+20.26999493508;    1.5059;    0.678;   -0.907;20.4566;20.8666;19.5587
098.23784107961;+20.25734857534;    0.8725;    5.340;    1.367;20.2510;21.0052;19.4908
098.24074783108;+20.25666540214;   -0.1580;    0.485;   -0.351;18.2536;18.7461;17.6098
098.23725799022;+20.25211930967;    0.9028;   -1.683;   -1.942;19.6121;20.5110;18.5565
098.24788123672;+20.25608525860;    0.0745;    1.857;   -1.675;18.8258;19.4522;18.0431
098.23605541373;+20.26392562556;    1.8183;   -6.281;   -8.064;19.0949;20.2111;17.7372
098.25138955767;+20.25660098330;    0.3480;   -4.527;   -2.494;19.7068;20.4416;18.8591
098.23683257567;+20.28140340240;   -0.0719;    1.939;   -0.639;19.6188;20.0416;18.8349
098.25256271509;+20.27240739309;    0.5735;   -2.711;   -8.056;16.3916;16.9259;15.7076
098.24636044670;+20.27376154914;   -0.5830;    1.421;   -1.389;17.8311;18.2849;17.0940
098.24950508028;+20.27463988190;    0.3023;    1.323;   -1.561;17.2993;17.7480;16.6873
098.24239874667;+20.27523186199;    0.2110;    0.517;   -1.763;15.8153;16.5135;15.0096
098.24163386223;+20.26560973351;          ;         ;         ;19.1483;19.2045;18.0342
098.25482049222;+20.26723999169;   -0.4648;    0.975;   -0.430;19.9853;20.1574;18.6979
098.25444928389;+20.26735635251;          ;         ;         ;20.4737;       ;
098.24931213788;+20.27004060453;    0.3838;    0.593;   -3.039;18.9187;19.4823;18.2024
098.19342825588;+20.27328821471;          ;         ;         ;20.7779;21.0701;19.7643
098.19566359617;+20.26987031228;    3.0089;   -7.162;   -5.742;20.5753;21.4704;19.2030
098.19833542773;+20.27419640099;    0.6989;   -5.458;   -0.857;20.4395;21.0601;19.4070
098.20970563178;+20.26601948493;   -0.2982;    0.277;   -0.889;19.9568;20.4129;18.9519
098.19081047440;+20.27149892204;    0.6280;   -1.308;   -2.310;19.2887;19.7507;18.5052
098.19951612237;+20.27159021007;    0.6270;    0.062;   -0.476;19.1815;19.7067;18.4665
098.20969183343;+20.26645229794;          ;         ;         ;20.9985;       ;
098.20135084651;+20.26846570799;   -0.6121;    1.975;   -1.233;19.7877;20.0591;19.0758
098.19604142858;+20.26567158187;    0.1551;    2.167;   -1.990;18.9353;19.4014;18.2302
098.20814789288;+20.26448508919;   -0.1305;    1.513;   -1.768;19.4125;19.9290;18.5617
