RA_ICRS;DE_ICRS;Plx;pmRA;pmDE;Gmag;BPmag;RPmag
deg;deg;mas;mas/yr;mas/yr;mag;mag;mag
---------------;---------------;----------;---------;---------;-------;-------;-------
357.57930697822;+62.39181966896;    0.2283;   -2.778;   -1.231;20.0677;       ;
357.59292525527;+62.39487031036;    0.1974;   -0.788;    0.379;20.3879;20.8709;19.2944
357.52493669280;+62.37033475145;    0.2131;   -2.119;   -1.519;20.7486;21.1676;19.6699
357.53279779963;+62.38417072527;    1.2463;   -1.225;    0.745;19.7852;       ;
357.58582888657;+62.38900734757;   -0.2833;   -2.366;   -1.301;20.4573;20.8427;19.2538
357.58465990242;+62.39315526611;    0.5507;   -2.518;   -1.300;19.8160;20.2974;18.7031
357.54489613039;+62.37654374244;   -0.0579;    1.755;   -1.155;19.1923;20.0741;18.1965
357.53411713263;+62.38858124726;    0.2833;   -2.185;   -0.218;19.5155;19.9346;18.3122
357.58554654309;+62.39263055918;    0.2715;   -1.564;   -1.876;18.9111;19.7102;17.8009
357.58597351664;+62.39074201807;   -0.0910;   -0.732;   -1.572;18.8958;19.6759;17.9125
357.53347740896;+62.38460526263;    0.0558;   -2.543;   -0.361;17.0998;18.2369;15.9455
357.56451382744;+62.39023124316;    0.0256;   -0.883;   -0.609;19.5419;20.2233;18.6192
357.53478220514;+62.38365191171;    0.4651;   -3.342;   -0.751;19.4449;20.1174;18.4333
357.53905831505;+62.38368331782;    1.1972;    3.479;    0.609;18.7094;19.9768;17.5112
357.57320001403;+62.38555012754;    0.6102;   -0.307;   -0.104;17.9158;18.6764;17.0141
357.57400921181;+62.39356803952;   -1.2180;   -0.421;    1.994;20.8596;20.7350;19.7143
357.56250468904;+62.38180033629;    0.3137;   -2.202;   -0.389;19.5029;20.1573;18.3422
357.54386194422;+62.38026944374;    0.4048;   -2.306;   -1.191;20.0154;20.6478;19.0186
357.53767688779;+62.38043364938;    0.2658;   -0.757;   -0.099;17.8153;18.6480;16.8861
357.58449927371;+62.40946665641;   -0.3644;   -0.661;    0.468;20.7469;20.9061;19.7290
357.57768385158;+62.38687139756;    0.3017;   -2.064;   -3.025;18.8160;19.4833;17.9209
357.57663639792;+62.39856641784;   -1.0549;    0.014;    1.618;20.9288;20.9030;19.8074
357.55488638245;+62.40196016397;          ;         ;         ;21.1180;       ;
357.55745825345;+62.40095117936;    0.2063;   -2.036;   -0.982;18.4546;19.0947;17.6123
